name,brand,price,original_price,special_price,savings,image_url,product_url,product_code,category,in_stock,on_special,scraped_at
Ritebrand Medium Grain Parboiled White Rice 2kg,,33.99,,33.99,,https://www.shoprite.co.za/medias/lqi-10130255EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTcxfGltYWdlL3BuZ3xpbWFnZXMvaDJkL2g3Zi8xMDA5OTYyNzUyNDEyNi5wbmd8OTRkNzdjYzYzMjIyYzA0ZjBjNjNjMTExMGE5ZjJkNzhiNWRiMmY1NmY4MWRiMTRmN2YxZjYzMWFiMDIwYjM3Mw,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Rice%2C-Pasta%2C-Noodles-and-Cous-Cous/Rice/Ritebrand-Medium-Grain-Parboiled-White-Rice-2kg/p/10130255EA,,Food Cupboard,True,True,2025-10-06T02:10:40.464242
White Star Super Maize Meal 5kg,,79.99,,79.99,,https://www.shoprite.co.za/medias/lqi-10703439EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjcyfGltYWdlL3BuZ3xpbWFnZXMvaDJjL2g2Ni8xMDc4ODk3MjQ5NDg3OC5wbmd8MDg5YjU2NjhmY2JlZDM2NDk5MWJjMzA4YTA0ZGRjMWM5ZTQ0ODkzZmE0ODQ5MWFkNWUxMGRiNGQ0OTg4YzRlNQ,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Breakfast-Cereals%2C-Porridge-and-Pap/Porridge%2C-Maize-Meal-and-Pap/White-Star-Super-Maize-Meal-5kg/p/10703439EA,,Food Cupboard,True,True,2025-10-06T02:10:40.464562
Pork Pack Per kg,,69.99,,69.99,,https://www.shoprite.co.za/medias/lqi-10151892KG-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTc4fGltYWdlL3BuZ3xpbWFnZXMvaGViL2hkYS85MTA5NDAwMTI1NDcwLnBuZ3w1NGU5MzY0NGRhOGZjYzMwYzAzMDBjMGZkMDBhNjBkZTc1YzRhZmZiYWUzYTBkZmI2MTA1NTdkNzlmOTYyYWM1,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Fresh-Meat-and-Poultry/Pork-Pack-Per-kg/p/10151892KG,,Fresh Food,True,True,2025-10-06T02:10:40.464873
Harvestime Frozen Mixed Vegetables 900g,,39.99,,39.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-10705282EA.png?context=bWFzdGVyfGltYWdlc3wyNjA3fGltYWdlL3BuZ3xpbWFnZXMvaGU2L2g4OS8xMTM3OTQ1MTU5MjczNC5wbmd8YjVlMjllYmEyODFjNGJlYTIzMjgxYTkzNmEyMmVjZjBkZWQ2MzQyMDgzNTNhZjk3MDUxZGMwYzFhZGE4YWU5OQ,https://www.shoprite.co.za/All-Departments/Food/Frozen-Food/Frozen-Vegetables/Frozen-Mixed-Vegetables/Harvestime-Frozen-Mixed-Vegetables-900g/p/10705282EA,,Frozen Food,True,True,2025-10-06T02:10:40.465190
SASKO Cake Wheat Flour Bag 10kg,,154.99,,154.99,,https://www.shoprite.co.za/medias/lqi-10129561EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTE4fGltYWdlL3BuZ3xpbWFnZXMvaDAxL2hjMS8xMDQ5OTg3NjU1MjczNC5wbmd8MGNhYjZmMGJlMDFlMmY4MjAwOTlkZWFlNjJiY2E5N2M5YTJmZDc5NTg2MjY3YWQ4ODkzOTZjY2MwZGRhZjJmYQ,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Baking/Flour/SASKO-Cake-Wheat-Flour-Bag-10kg/p/10129561EA,,Food Cupboard,True,True,2025-10-06T02:10:40.465554
Super White Super Maize Meal 10kg,,129.99,,129.99,,https://www.shoprite.co.za/medias/lqi-10344688EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDk3fGltYWdlL3BuZ3xpbWFnZXMvaDkyL2g0Zi8xMDYzNjQ0Nzc0NDAzMC5wbmd8NThkMGE5ZTY1YTI5YmFlMTM3OTllYzBlNzViODhiMmIzYWFiN2ZkMWJkNjk2YzQyODc2NTM2YTE5MTZhZDA3NQ,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Breakfast-Cereals%2C-Porridge-and-Pap/Porridge%2C-Maize-Meal-and-Pap/Super-White-Super-Maize-Meal-10kg/p/10344688EA,,Food Cupboard,True,True,2025-10-06T02:10:40.465864
Crisp Lettuce Head,,16.99,,16.99,,https://www.shoprite.co.za/medias/lqi-10684677EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMjU3fGltYWdlL3BuZ3xpbWFnZXMvaDA1L2hlOC8xMDQyMTcyMTg5MDg0Ni5wbmd8OTk2Y2VmZGMwODdhYTI1NDM3ZTQwZTg2YmVkYjkxOGNmY2NhNDVkZmJjMmVhYWEzMzRhMGE5NTZkNWJkOWI2YQ,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Fresh-Salad%2C-Herbs-and-Dip/Lettuce-and-Salad-Bags/Crisp-Lettuce-Head/p/10684677EA,,Fresh Food,True,True,2025-10-06T02:10:40.466176
Rhodes Quality Baked Beans in Tomato Sauce 410g,,13.99,,13.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10123940EA-en-shopriteGlobalProductCatalog-20250618022800.png?context=bWFzdGVyfGltYWdlc3wyMzk4fGltYWdlL3BuZ3xpbWFnZXMvaGI2L2hjNi8xMTg1MDYxNjE3NjY3MC5wbmd8YjBmMGYwMWZhOTRjMWJmYWY5NTdhMTRmYWMwZDA5OWZiOTBhNTgzMTVkNGU1OTdiODA2Zjg0NTg1MThjOGNkNQ,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Canned-Food/Canned-Pulses%2C-Lentils-and-Beans/Rhodes-Quality-Baked-Beans-in-Tomato-Sauce-410g/p/10123940EA,,Food Cupboard,True,True,2025-10-06T02:10:40.466494
Green Peppers 500g,,24.99,,24.99,,https://www.shoprite.co.za/medias/lqi-10145588EAv2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDY3fGltYWdlL3BuZ3xpbWFnZXMvaDBlL2hlOC85MTA5MTYwNjI0MTU4LnBuZ3w4M2M3MjM4ZTA2ZTFjNWMyYzIxZDkxZmFlY2VmNzZlYzRkODNiNDRmZDBhZWExNTkwMTM3ZjBlNjkyYjlmMWJi,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Fresh-Salad%2C-Herbs-and-Dip/Peppers/Green-Peppers-500g/p/10145588EA,,Fresh Food,True,True,2025-10-06T02:10:40.466802
D'Lite Pure Cooking Oil 2L,,69.99,,69.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10225789EA-en-shopriteGlobalProductCatalog-20250415101802.png?context=bWFzdGVyfGltYWdlc3wxNjMzfGltYWdlL3BuZ3xpbWFnZXMvaDZmL2hjZS8xMTcxNzc1OTc2MjQ2Mi5wbmd8ZTA4ODRjMWIwZTYxMWVmMzQ1NzY2ZjFmZWIwNjM5MTFhNTI0YTQ4MmZjMjQzYTM5ZDg2N2IxNzZiNWVmNDdjNA,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Cooking-Ingredients/Cooking-Oils-and-Fats/D%27Lite-Pure-Cooking-Oil-2L-/p/10225789EA,,Food Cupboard,True,True,2025-10-06T02:10:40.467188
D'Lite 37% Fat Spread 1kg,,39.99,,39.99,,https://www.shoprite.co.za/medias/lqi-10248800EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTc0fGltYWdlL3BuZ3xpbWFnZXMvaDNjL2g1OS85OTM2MjIxNjM0NTkwLnBuZ3w0ZjYyYTgwZDIxM2UyNDUzMGI3ZjhiZTI0NDljMTliZWQ4Njk3ODFjMGIxMzMwZTU4MDY1ZTQyMjYyNjEzYzkx,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Milk%2C-Butter-and-Eggs/Butter%2C-Spreads-and-Margarine/D%27Lite-37%25-Fat-Spread-1kg/p/10248800EA,,Fresh Food,True,True,2025-10-06T02:10:40.467549
